lga_name,offence_rate
,
,
,
,
,
,
,
,
"Table 8. Offence rate per 100,000 population by Region and Local Government Area - January 2010 to December 2014",
,
,
,Jan - Dec 2014
,
North West Metro Region,
Banyule,"6,953.30"
Brimbank,"8,777.40"
Darebin,"9,665.90"
Hobsons Bay,"7,788.40"
Hume,"9,365.40"
Maribyrnong,"9,837.20"
Melbourne,"26,246.90"
Melton,"7,750.40"
Moonee Valley,"7,262.50"
Moreland,"7,749.10"
Nillumbik,"3,196.40"
Whittlesea,"7,323.70"
Wyndham,"6,464.70"
Yarra,"14,864.90"
Sub total,"9,366.70"
,
Eastern Region,
Alpine,"4,346.70"
Bass Coast,"7,853.60"
Baw Baw,"8,082.40"
Benalla,"8,509.90"
Boroondara,"3,914.00"
East Gippsland,"8,938.10"
Greater Shepparton,"11,398.50"
Indigo,"2,492.90"
Knox,"6,196.60"
Latrobe,"15,721.50"
Manningham,"3,389.30"
Mansfield,"7,575.40"
Maroondah,"6,869.90"
Mitchell,"8,268.10"
Moira,"4,792.10"
Monash,"5,146.20"
Murrindindi,"4,745.90"
South Gippsland,"4,551.40"
Strathbogie,"4,968.80"
Towong,"3,168.70"
Wangaratta,"11,617.70"
Wellington,"9,400.40"
Whitehorse,"4,499.20"
Wodonga,"8,586.30"
Yarra Ranges,"4,702.00"
Sub total,"6,341.70"
,
,Jan - Dec 2014
,
Southern Metro Region,
Bayside,"4,249.30"
Cardinia,"6,312.60"
Casey,"6,124.10"
Frankston,"10,792.60"
Glen Eira,"3,632.30"
Greater Dandenong,"10,672.40"
Kingston,"6,176.20"
Mornington Peninsula,"6,688.30"
Port Phillip,"11,545.50"
Stonnington,"8,711.80"
Sub total,"7,339.70"
,
Western Region,
Ararat,"10,185.30"
Ballarat,"10,292.40"
Buloke,"3,303.00"
Campaspe,"7,987.90"
Central Goldfields,"8,692.20"
Colac-Otway,"7,307.90"
Corangamite,"4,282.90"
Gannawarra,"5,418.90"
Glenelg,"8,839.40"
Golden Plains,"2,442.80"
Greater Bendigo,"8,013.40"
Greater Geelong,"8,279.90"
Hepburn,"4,001.60"
Hindmarsh,"4,015.00"
Horsham,"12,050.60"
Loddon,"6,999.30"
Macedon Ranges,"4,832.70"
Mildura,"11,024.60"
Moorabool,"5,993.30"
Mount Alexander,"6,384.20"
Moyne,"7,955.40"
Northern Grampians,"7,727.60"
Pyrenees,"6,000.00"
Queenscliffe,"3,287.80"
Southern Grampians,"5,908.30"
Surf Coast,"4,692.30"
Swan Hill,"10,345.30"
Warnambool,"6,979.20"
West Wimmera,"4,734.90"
Yarriambiack,"4,746.80"
Sub total,"7,824.30"
,
Total offences1,"7,808.60"
,
,
,
1 Total includes offences with an unknown Local Government Area,
