lga_name,overall score
Bayside,96.2
Boroondara,80.3
Stonnington,71.1
Moyne,68.3
Surf Coast,61.5
Southern Grampians,58.6
Queenscliffe,56.5
Nillumbik,54.5
Mansfield,46.0
Manningham,45.6
Towong,37.4
Port Phillip,36.5
Maroondah,34.3
West Wimmera,34.1
Yarriambiack,34.0
Banyule,32.3
Hindmarsh,31.2
Macedon Ranges,30.8
Melbourne,29.6
Corangamite,28.8
Ararat,28.1
Whitehorse,27.9
Yarra,25.6
Gannawarra,23.3
Strathbogie,21.0
Alpine,16.7
Buloke,14.8
Loddon,14.1
Indigo,13.2
Knox,12.7
Mornington Peninsula,9.9
Wangaratta,9.9
South Gippsland,9.8
Wellington,7.3
Benalla,6.7
Glenelg,6.4
Campaspe,5.1
Kingston,4.8
Moonee Valley,4.5
Colac-Otway,4.3
Glen Eira,3.7
Golden Plains,2.2
Hepburn,1.4
Bass Coast,-5.1
Baw Baw,-5.9
Murrindindi,-6.3
East Gippsland,-7.9
Horsham,-9.1
Ballarat,-10.1
Northern Grampians,-11.2
Hobsons Bay,-11.2
Swan Hill,-12.0
Yarra Ranges,-14.9
Monash,-15.3
Greater Geelong,-16.9
Greater Bendigo,-18.5
Mount Alexander,-21.1
Maribyrnong,-26.4
Moira,-26.5
Moorabool,-28.0
Mitchell,-28.3
Pyrenees,-29.1
Moreland,-32.3
Frankston,-37.3
Darebin,-37.4
Cardinia,-41.0
Latrobe,-44.2
Wyndham,-52.1
Mildura,-53.8
Casey,-54.5
Whittlesea,-55.2
Wodonga,-56.9
Central Goldfields,-62.6
Greater Shepparton,-75.6
Brimbank,-81.0
Melton,-81.8
Hume,-82.4
Greater Dandenong,-89.2
